"","Taxa","sp","GEO3","ISO3","lon","lat","sol","sol_Hi","sol_Lo","sol_Mo","sol_VL","tot","lab","org","occ","sec","apa","stp10","stp100","stp20","stp30","PBR1","PBR2","PHO1","PHO2","PMEH1","PMEH2","PNZ1","PNZ2","POL1","POL2","TP1","TP2","NPlim","ext_P20"
"2657","SEEDGWAS4747:MRG:4:250096912","Zea mays","Meso-America","MEX",-98.87,19.09,2,0,30,20,50,NA,NA,NA,NA,NA,NA,644.589599609375,574.420166015625,600.763366699219,582.487365722656,556,86,NA,NA,NA,NA,5391,6587,NA,NA,900,800,NA,NA
"2658","SEEDGWAS4748:MRG:4:250096914","Zea mays","Meso-America","MEX",-98.82,19.02,2,0,30,20,50,NA,NA,NA,NA,NA,NA,644.589599609375,574.420166015625,600.763366699219,582.487365722656,556,86,NA,NA,NA,NA,5391,6587,NA,NA,900,800,-0.144569993019104,NA
"2659","SEEDGWAS4749:MRG:4:250096915","Zea mays","Meso-America","MEX",-101.1666667,21.48333333,8,0,0,100,0,940.009643554688,101.39623260498,143.139266967773,202.798629760742,49.605354309082,443.070129394531,572.354187011719,481.052459716797,537.277526855469,497.147857666016,1480,NA,NA,NA,NA,NA,3007,3447,NA,NA,NA,NA,-0.162059992551804,NA
"2660","SEEDGWAS4750:MRG:4:250096916","Zea mays","Meso-America","MEX",-101.877563,21.340408,8,0,0,100,0,867.736206054688,45.5703544616699,162.553466796875,382.203704833984,38.0768814086914,239.33186340332,592.944213867188,503.467803955078,557.300903320312,523.161193847656,1817,181,2900,800,2521,306,2258,2507,766,129,500,400,NA,NA
"2661","SEEDGWAS4751:MRG:4:250096920","Zea mays","Meso-America","MEX",-97.68333333,17.26666667,8,0,20,80,0,1323.80529785156,163.564651489258,538.213684082031,301.509887695312,94.9341430664062,225.582885742188,1110.48986816406,967.135375976562,1076.56311035156,991.845458984375,483,64,500,NA,1298,336,3679,3589,624,143,600,500,-0.308829993009567,NA
"2662","SEEDGWAS4751:MRG:4:250096921","Zea mays","Meso-America","MEX",-97.68333333,17.26666667,8,0,20,80,0,1323.80529785156,163.564651489258,538.213684082031,301.509887695312,94.9341430664062,225.582885742188,1110.48986816406,967.135375976562,1076.56311035156,991.845458984375,483,64,500,NA,1298,336,3679,3589,624,143,600,500,-0.308829993009567,NA
"2663","SEEDGWAS4752:MRG:4:250096923","Zea mays","Meso-America","MEX",-101.988203,21.005478,8,0,0,100,0,867.736206054688,45.5703544616699,162.553466796875,382.203704833984,38.0768814086914,239.33186340332,592.944213867188,503.467803955078,557.300903320312,523.161193847656,1817,181,2900,800,2521,306,2258,2507,766,129,500,400,NA,NA
"2664","SEEDGWAS4753:MRG:4:250096925","Zea mays","Meso-America","MEX",-102.690624,20.673771,8,0,0,80,20,297.140411376953,21.5375823974609,73.6969299316406,112.17391204834,33.7941970825195,55.9377670288086,637.892028808594,531.06640625,588.613891601562,558.676940917969,1111,154,NA,NA,NA,NA,3932,4923,NA,NA,700,500,-0.165470004081726,NA
"2665","SEEDGWAS4754:MRG:4:250096926","Zea mays","Meso-America","MEX",-102.6666667,20.81666667,8,0,0,80,20,297.140411376953,21.5375823974609,73.6969299316406,112.17391204834,33.7941970825195,55.9377670288086,637.892028808594,531.06640625,588.613891601562,558.676940917969,1111,154,NA,NA,NA,NA,3932,4923,NA,NA,700,500,-0.154300004243851,NA
"2666","SEEDGWAS4755:MRG:4:250096927","Zea mays","Meso-America","MEX",-92.46666667,16.55,9,0,30,70,0,189.75,13.1082925796509,49.7512664794922,95.3201599121094,25.3454780578613,6.22480916976929,748.278076171875,574.6083984375,690.445251464844,630.9384765625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2667","SEEDGWAS4756:MRG:4:250096929","Zea mays","Meso-America","MEX",-102.375272,21.004059,8,0,0,100,0,867.736206054688,45.5703544616699,162.553466796875,382.203704833984,38.0768814086914,239.33186340332,551.350280761719,464.560424804688,521.14013671875,481.909484863281,580,NA,NA,NA,NA,NA,3820,4326,NA,NA,NA,NA,-0.149049997329712,NA
"2668","SEEDGWAS4757:MRG:4:250096930","Zea mays","Meso-America","MEX",-102,21.11666667,8,0,0,100,0,867.736206054688,45.5703544616699,162.553466796875,382.203704833984,38.0768814086914,239.33186340332,592.944213867188,503.467803955078,557.300903320312,523.161193847656,1817,181,2900,800,2521,306,2258,2507,766,129,500,400,-0.353720009326935,NA
"2669","SEEDGWAS4758:MRG:4:250096931","Zea mays","Meso-America","MEX",-101.924964,21.213333,8,0,0,100,0,867.736206054688,45.5703544616699,162.553466796875,382.203704833984,38.0768814086914,239.33186340332,592.944213867188,503.467803955078,557.300903320312,523.161193847656,1817,181,2900,800,2521,306,2258,2507,766,129,500,400,NA,NA
"2670","SEEDGWAS4759:MRG:4:250096932","Zea mays","Meso-America","MEX",-102.1666667,21.01666667,9,0,33,67,0,867.736206054688,45.5703544616699,162.553466796875,382.203704833984,38.0768814086914,239.33186340332,551.350280761719,464.560424804688,521.14013671875,481.909484863281,1817,181,2900,800,2521,306,2258,2507,766,129,500,400,NA,NA
"2671","SEEDGWAS476:MRG:4:250059237","Zea mays","Meso-America","MEX",-99.634229,21.83299,9,0,30,70,0,321.88916015625,39.7714767456055,130.869049072266,73.3134765625,23.0836601257324,54.8514785766602,1138.53674316406,981.948181152344,1075.21154785156,999.770812988281,1731,NA,NA,NA,NA,NA,3072,4551,NA,NA,NA,NA,-0.479059994220734,NA
"2672","SEEDGWAS4760:MRG:4:250096933","Zea mays","Meso-America","MEX",-102.6666667,20.81666667,8,0,0,80,20,297.140411376953,21.5375823974609,73.6969299316406,112.17391204834,33.7941970825195,55.9377670288086,637.892028808594,531.06640625,588.613891601562,558.676940917969,1111,154,NA,NA,NA,NA,3932,4923,NA,NA,700,500,-0.154300004243851,NA
